image,min,max,mean,orig,diff_min_max,diff_orig_mean,damage_min_max,damage_mean
51e8d615-19de-4037-b746-1f00286f2ba2.jpg,42,81,63.40625,65.0,39,1.59375,0,0
fb516b30-d195-4e11-ae61-e5d1483b50cd.jpg,40,65,49.65625,43.2,25,6.456249999999997,0,0
57deaf6f-e7ac-44d9-94fc-d0af2474e476.jpg,35,62,50.4375,34.2,27,16.237499999999997,0,1
45a2deda-edef-482c-b82e-62151af94d2d.jpg,46,108,79.875,43.0,62,36.875,1,1
e5bafab7-0d8f-4b16-a912-9c1f4678abe3.jpg,33,71,56.28125,63.2,38,6.918750000000003,0,0
52e4f47f-9c04-44cd-8007-f9c6b1045574.jpg,28,59,45.0625,67.2,31,22.137500000000003,0,1
46b460d7-94eb-45d3-baeb-90d350901598.jpg,33,56,45.65625,43.0,23,2.65625,0,0
48c2f602-472a-4fe7-8860-a93e0618d193.jpg,32,66,49.40625,43.2,34,6.206249999999997,0,0
fbffc1b0-0e17-4489-a600-9fc7eda78518.jpg,33,60,47.21875,37.2,27,10.018749999999997,0,0
0ab35e35-0347-4e71-957b-726ce7986d28.jpg,44,67,54.28125,29.0,23,25.28125,0,1
0dbd3d07-f5e8-4549-af0c-737785d180f5.jpg,48,92,67.53125,91.0,44,23.46875,1,1
0ab34cbd-fbbb-4ae9-9399-9e4e7df9c675.jpg,35,59,46.21875,33.0,24,13.21875,0,0
e7de2434-fb9a-45c1-85d0-a3b1490c042d.jpg,45,93,71.90625,68.0,48,3.90625,1,0
fc559d5f-97ad-4ebd-bd9a-9fa0ff3bfb34.jpg,32,58,43.8125,53.0,26,9.1875,0,0
fd5168d8-7896-43f4-a69c-b545113c901b.jpg,39,91,57.75,45.0,52,12.75,1,0
fcce8209-3816-4ee4-8a43-5c75b2b5ecf2.jpg,30,118,67.15625,81.0,88,13.84375,1,0
fc282e27-c1e3-4cdf-9f0d-b2bc19ca4e90.jpg,27,55,39.75,44.2,28,4.450000000000003,0,0
fb7c871e-11bd-495e-8c93-ddf2fe51e43a.jpg,17,45,28.59375,36.2,28,7.606250000000003,0,0
46aee2e0-8c1a-4f38-8525-3c61c7a6b6f8.jpg,36,69,48.5,82.2,33,33.7,0,1
fdb104c8-414b-4c2d-88bd-9b4cf667d13c.jpg,35,67,49.78125,30.0,32,19.78125,0,1
e02eacbb-0c95-4726-b270-e956d091e478.jpg,26,58,37.40625,60.2,32,22.793750000000003,0,1
55d304c4-b073-4506-9d3d-66d5e4bd876f.jpg,24,69,49.71875,57.2,45,7.481250000000003,1,0
44ed032b-653d-40bb-b641-34aa66d31bb6.jpg,43,84,57.71875,78.2,41,20.481250000000003,1,1
00b6b6c8-ec6b-4f20-b77a-2dc0c5d22347.jpg,47,91,65.0,48.0,44,17.0,1,1
050f287e-72eb-44b2-84e3-20789e5717bb.jpg,40,87,61.15625,123.0,47,61.84375,1,1
54bf8554-f0cb-4b2c-8a81-56e7b47288a7.jpg,38,101,75.96875,64.2,63,11.768749999999997,1,0
fcda865d-d667-4fab-a526-0103332b4646.jpg,32,54,43.25,30.0,22,13.25,0,0
0e4fdea4-6046-4a66-98b2-f4a3320d6de4.jpg,28,55,39.0,36.2,27,2.799999999999997,0,0
fc03aa81-9155-43e7-bcdf-0469a3a1a2d0.jpg,44,70,60.6875,40.0,26,20.6875,0,1
fd60d026-3371-47f7-aa3e-36f2477489e4.jpg,39,72,56.46875,39.0,33,17.46875,0,1
fecf212a-83fd-4aae-8ba8-60a84f937f19.jpg,20,56,37.0625,20.0,36,17.0625,0,1
044c6434-b9b0-4402-bf6b-e3ebe075539f.jpg,21,100,56.53125,80.2,79,23.668750000000003,1,1
0daaa854-08f1-44a5-8288-4481826778ee.jpg,38,63,51.65625,51.0,25,0.65625,0,0
0cac58fa-65ff-4e89-8730-388fb056a16c.jpg,21,41,29.90625,34.2,20,4.293750000000003,0,0
48fb4d49-9684-4ee1-a6f5-e60d3f663529.jpg,28,51,40.65625,56.2,23,15.543750000000003,0,1
e1eab1e6-f4e0-4d4e-be7a-59e7f1b582b5.jpg,33,62,48.25,33.2,29,15.049999999999997,0,1
dfa15f82-18d4-4389-8527-8f276d0b5805.jpg,29,46,34.84375,32.0,17,2.84375,0,0
0dd5c7f5-399c-4e57-b567-dd20a13e1d85.jpg,42,80,54.96875,81.0,38,26.03125,0,1
fbfb60ab-1245-4f98-ba41-a996d888187e.jpg,44,83,62.03125,36.2,39,25.831249999999997,0,1
048f7165-79c2-407c-9dea-aa1089d0bb91.jpg,54,83,66.46875,76.2,29,9.731250000000003,0,0
fbf0cc0c-b3c5-49be-8b06-b375856f87d3.jpg,31,62,45.09375,27.2,31,17.89375,0,1
e22a2086-f5b8-421b-b082-2e85cf54c9c1.jpg,21,63,46.9375,100.2,42,53.2625,1,1
df4d2377-2d24-4854-9192-ee52c2d5df18.jpg,46,78,61.125,50.2,32,10.924999999999997,0,0
e0e96cf1-f815-42fe-a3b0-e817cf3a3354.jpg,30,49,39.0,45.0,19,6.0,0,0
f5528295-e1e6-4299-b3b5-daeb3b027059.jpg,24,53,39.8125,26.0,29,13.8125,0,0
fe3470eb-04c0-49c2-83bb-a47b18ebb83e.jpg,30,59,44.90625,40.0,29,4.90625,0,0
47c85831-0dec-411b-b330-d26900be84d1.jpg,28,65,48.25,48.0,37,0.25,0,0
0e21e295-26f0-4635-b7aa-e6429954beed.jpg,34,73,52.71875,51.0,39,1.71875,0,0
0cd5a26b-e36c-4889-b9f9-ade261a5e102.jpg,26,70,42.75,58.2,44,15.450000000000003,1,1
dfdb4ed7-394a-434f-a877-328f89e41a09.jpg,33,62,47.78125,65.0,29,17.21875,0,1
0cc9305a-5db1-4d6d-a603-918a09542602.jpg,43,95,71.40625,34.2,52,37.20625,1,1
e3d3cfb6-7fc0-4820-9e55-d1dd3e544916.jpg,32,52,42.8125,54.0,20,11.1875,0,0
0b5ed0e1-7519-455b-b7a8-8db6e5e79f9e.jpg,41,79,55.53125,67.0,38,11.46875,0,0
52b07525-89fa-4532-9518-a88332d4fac2.jpg,36,62,46.9375,65.0,26,18.0625,0,1
ff264f04-f075-4e4b-ab62-ee8b00f8c47e.jpg,45,86,63.59375,78.0,41,14.40625,1,1
fc3c0166-ebb7-4fcf-a3e7-12cd32bcc9a0.jpg,52,105,80.46875,73.0,53,7.46875,1,0
51bccdcb-f5cd-4c0f-9272-5e0fe7025f9a.jpg,50,83,65.21875,56.2,33,9.018749999999997,0,0
0a9ed354-c013-4963-9124-b5f90fd42eb7.jpg,34,79,56.15625,31.2,45,24.95625,1,1
df6440e9-acf9-498a-87fa-b7747e81f09a.jpg,42,76,57.375,85.0,34,27.625,0,1
0d42a6dc-a0ef-4deb-a797-78d1a4ed8b55.jpg,38,67,52.28125,43.2,29,9.081249999999997,0,0
cb091763-2b99-4df3-b440-529907728083.jpg,31,57,47.25,23.2,26,24.05,0,1
47b741ac-cf0c-4dc4-bca3-50aa0e26fdcb.jpg,39,77,58.53125,77.0,38,18.46875,0,1
0b075cc5-5371-461a-ab45-3c886e64b40c.jpg,40,70,52.4375,37.2,30,15.237499999999997,0,1
50b5aecf-adad-4b5e-934d-02b4bb591a5c.jpg,33,76,54.375,55.2,43,0.8250000000000028,1,0
0e145300-af32-45e4-b10c-e5f411ef8e6e.jpg,43,80,58.3125,64.0,37,5.6875,0,0
e5d08d2f-e2f6-44d6-8486-8be781d463dc.jpg,38,73,49.6875,78.2,35,28.512500000000003,0,1
53d403ce-f876-4d5a-a71c-879749d10bf8.jpg,49,84,62.71875,94.0,35,31.28125,0,1
e7a2d874-f797-48bb-84fd-f697425ccce4.jpg,31,53,42.375,31.2,22,11.175,0,0
52d860b9-2545-48a5-83ae-9d883ebdfa1a.jpg,29,62,42.84375,30.2,33,12.64375,0,0
ff97ce59-f352-46ef-8137-ee28dc25fe04.jpg,29,64,44.84375,38.2,35,6.643749999999997,0,0
fb97e828-debe-44f3-80a9-3c3c40c62a95.jpg,46,97,69.90625,40.2,51,29.706249999999997,1,1
e8a4da44-8d72-4b4f-ac69-53f8061a8026.jpg,47,88,67.53125,63.2,41,4.331249999999997,1,0
0f16dbcc-6792-4541-84dd-a1d852ccbcab.jpg,28,58,43.65625,80.2,30,36.54375,0,1
fef5cfb1-5c59-4f3e-8cf2-9c632d201863.jpg,37,69,54.09375,46.2,32,7.893749999999997,0,0
0e66ec66-d6d2-4f7f-8798-5037e4e4e184.jpg,38,65,50.625,66.0,27,15.375,0,1
ff0e407b-7d23-4037-a2e7-4a977d767e74.jpg,27,56,44.0625,46.2,29,2.137500000000003,0,0
45f6bcb3-a87d-4278-aab5-8cee99cb6fc6.jpg,42,90,66.90625,57.2,48,9.706249999999997,1,0
00bc27e9-b635-448d-9da1-9d461842e044.jpg,33,61,48.96875,26.2,28,22.76875,0,1
0bebb40c-63b8-4e38-81f0-d3360aedd952.jpg,29,54,39.1875,42.0,25,2.8125,0,0
56abe50e-86c7-499f-89f0-aa69ce53b8e8.jpg,28,50,40.53125,37.0,22,3.53125,0,0
0ba0be20-feb0-4798-b426-7e5ddfa2a2f3.jpg,47,72,58.5,57.0,25,1.5,0,0
0ce89f32-20eb-41bd-babd-4027fee9ae6a.jpg,25,70,46.59375,54.2,45,7.606250000000003,1,0
57bb9c51-c5f9-45fa-96e4-c3fd223bc8c9.jpg,26,57,37.34375,59.2,31,21.856250000000003,0,1
56aca3d5-0fc5-4c67-8895-2e1531c29b5d.jpg,33,54,41.65625,40.2,21,1.4562499999999972,0,0
fe18ea18-ac63-42b3-bdb0-2cf855055699.jpg,39,69,51.625,45.0,30,6.625,0,0
f5744022-17de-4885-b35c-5f94b9c2a586.jpg,40,67,51.15625,60.2,27,9.043750000000003,0,0
f5382313-d332-471d-a5d1-629bb8e2e903.jpg,29,69,45.96875,64.0,40,18.03125,1,1
0da44e1b-8158-40d4-a311-2fc016111d13.jpg,32,65,43.34375,81.2,33,37.85625,0,1
0da46961-93dc-492c-b4d8-54d9b7e439fa.jpg,35,59,48.53125,97.2,24,48.66875,0,1
55a25d98-1be0-43e2-af3f-75b6a993ef83.jpg,33,54,43.5625,44.2,21,0.6375000000000028,0,0
