model,subseq,peaks,binary,mwa
Grayscale,373.09801649592623,58.52696998203288,349.9968590632874,32.005311787871854
Polar,160.47449082287537,77.0614138879937,341.3028869528664,43.767202570341794
Polar Pith,133.64478877222345,78.70765373802249,298.7662836392074,44.40538044539198
Sobel,502.05271549105726,61.52617907692266,468.5848994986868,113.93651207897415
Sobel(blur),429.7424652319237,29.772147743318754,413.7037890231166,56.23849465668511
Canny,63.6111018164719,30.575144509970116,284.993435840586,196.23081196004873
Canny(otsu),53.67609308388605,27.397729021865214,268.4796310554428,182.15737329527272
Canny(triangle),93.46383482470046,45.77141139067534,336.3763454801944,236.89749940785458
Canny(manual),47.126067074567835,30.8929345122437,244.4084521008497,164.10864552095424
Canny(blur),35.35172673764795,34.59606894014277,212.00711109830726,137.91299107639892
Canny(blur otsu),30.651953275172094,35.42037309037147,197.35928104847824,123.64870454402936
Canny(blur triangle),59.357044507277216,39.356966328861155,273.72714874817507,190.56965467054297
Canny(blur manual),33.91177611137137,42.19013633737946,172.16393582458292,104.19172598574653
Laplacian,587.3200527165037,148.78946506118788,564.4572674905662,212.5336822979151
Laplacian(blur),520.6719100348179,66.13879923228791,528.3077558214635,79.60400451435984
Polar Sobel,432.3519711552216,28.405963282381393,391.0739212190438,62.548052083533705
Polar Sobel(blur),319.9906146355876,55.45704403084327,319.24454753131215,32.385715997866164
Polar Canny,33.33731174175067,43.38430055587185,185.48567245881821,116.96396851404945
Polar Canny(otsu),29.451663554222385,34.41814665905828,218.80998336329276,145.0477141322813
Polar Canny(triangle),65.38514208561114,29.868417452404657,325.9756572689814,230.27753119122974
Polar Canny(manual),36.95802635159994,46.34174234244256,177.00126544392273,110.60093884597505
Polar Canny(blur),53.22592830984204,60.055551974123645,125.26148123248245,67.82597446775092
Polar Canny(blur otsu),41.11164676828211,48.89777779829173,169.67769144968483,103.14143749469571
Polar Canny(blur triangle),33.401494893359356,21.280524645005038,283.75525457077936,197.9281028713457
Polar Canny(blur manual),56.17602589554255,62.09869119326644,119.89009239079026,63.88271221652136
Polar Laplacian,578.7040628217403,125.83335458057215,519.1552124371809,183.00655479305166
Polar Laplacian(blur),454.22096393700406,28.56788272888124,447.3939797788534,38.37867178416506
Polar Pith Sobel,385.1559650494777,23.59482677822502,347.3071836665474,49.143267383911976
Polar Pith Sobel(blur),282.79864431988824,56.745022878907875,282.3918571587774,28.814403407844488
Polar Pith Canny,33.87653056197855,44.41651676803974,161.70236225341094,97.8773119494219
Polar Pith Canny(otsu),28.206597066210517,34.14577054092254,197.00779969930406,126.9126759194202
Polar Pith Canny(triangle),58.377895627683145,26.37382270937521,294.4030587300059,205.39217137588278
Polar Pith Canny(manual),36.10339800105002,43.908621772633936,169.64115071927893,106.23098874033886
Polar Pith Canny(blur),54.35920795581309,60.48206919777502,109.27283665148038,56.38398671904403
Polar Pith Canny(blur otsu),42.0169263594381,49.16302917335342,150.09431745387448,88.81626321294492
Polar Pith Canny(blur triangle),29.3153762507361,20.99239611012627,253.7763684643868,174.6708749294258
Polar Pith Canny(blur manual),52.914148234034094,58.82722510194107,120.56325261846764,67.34475112042676
Polar Pith Laplacian,519.447791613176,107.91857366397439,464.52740494820824,158.1120876370445
Polar Pith Laplacian(blur),405.62578513877105,26.029419786934255,399.7424277694673,32.34750897373019
